备货单号,第三方单号,运输方式,发货仓,中转仓,收货仓,备货单状态,sku,第三方sku,品类,箱号,装箱数量,分配的收货数量,成本价,创建人,销售部门,发货时间,整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ008973_B_XL,469234040945,服装/服饰配件->男装->男式->T恤->polo衫,9050806,6,6,30.823,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ008973_B_XXL,461783877348,服装/服饰配件->男装->男式->T恤->polo衫,9050806,3,3,30.823,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_B_M,467960664732,服装/服饰配件->男装->男式->西装->西装马甲,9050806,1,,35.371,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_GR_M,461136844584,服装/服饰配件->男装->男式->西装->西装马甲,9050806,1,1,34.239,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ008973_B_L,465674415909,服装/服饰配件->男装->男式->T恤->polo衫,9050806,6,6,28.756,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ008973_B_M,466478288584,服装/服饰配件->男装->男式->T恤->polo衫,9050806,3,3,30.823,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_B_L,467500515418,服装/服饰配件->男装->男式->西装->西装马甲,9050806,3,3,46.279,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_B_M,464531128662,服装/服饰配件->男装->男式->西装->西装马甲,9050806,4,4,46.279,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_B_XL,469449928144,服装/服饰配件->男装->男式->西装->西装马甲,9050806,5,5,46.279,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_B_S,461175214034,服装/服饰配件->男装->男式->西装->西装马甲,9050806,5,5,46.279,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_B_XXL,461902858845,服装/服饰配件->男装->男式->西装->西装马甲,9050806,3,3,46.279,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_NB_M,463575945518,服装/服饰配件->男装->男式->西装->西装马甲,9050806,3,3,34.239,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0049614,5113526GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_B_XL,464222876032,服装/服饰配件->男装->男式->西装->西装马甲,9050806,8,8,34.239,王凤梅,,"2024-07-18 00:58:49",非整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_B_XXL,467821895671,服装/服饰配件->男装->男式->西装->西装马甲,9169588,6,6,35.371,王凤梅,,"2024-07-26 23:05:49",整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_B_M,467960664732,服装/服饰配件->男装->男式->西装->西装马甲,9169588,6,6,35.371,王凤梅,,"2024-07-26 23:05:49",整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_B_L,462516465863,服装/服饰配件->男装->男式->西装->西装马甲,9169588,6,6,35.371,王凤梅,,"2024-07-26 23:05:49",整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006445_B_S,464641713277,服装/服饰配件->男装->男式->西装->西装马甲,9169588,5,5,35.371,王凤梅,,"2024-07-26 23:05:49",整箱到货
TP0050032,5176691GDM,快船-A,东莞仓,,沃尔玛WFS仓,完结订单,AMJ006506_BL_L,467743765779,服装/服饰配件->男装->男式->西装->西装马甲,9169588,6,6,46.279,王凤梅,,"2024-07-26 23:05:49",整箱到货
